City,Country,Longitude,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
zhezkazgan,KZ,67.7144,47.8043,12.2,94,0,7.65
avarua,CK,-159.775,-21.2078,86.0,70,33,14.97
arraial do cabo,BR,-42.0278,-22.9661,83.59,65,0,11.5
liliani,PK,72.9537,32.2065,47.3,47,0,2.28
cherskiy,RU,161.3,68.75,-28.43,85,98,2.21
punta arenas,CL,-70.9167,-53.15,48.09,57,75,23.02
kaohsiung,TW,120.3133,22.6163,57.33,72,75,3.44
atascadero,US,-120.6707,35.4894,47.25,93,100,1.01
kapaa,US,-159.319,22.0752,74.52,78,75,17.27
adrar,MR,-10.0711,20.5022,69.15,24,0,10.04
mar del plata,AR,-57.5575,-38.0023,80.6,47,75,11.5
nome,US,-165.4064,64.5011,10.9,62,90,4.61
rikitea,PF,-134.9692,-23.1203,79.38,69,78,3.78
saint george,US,-113.5841,37.1041,54.36,35,1,13.8
faanui,PF,-151.75,-16.4833,81.39,68,100,9.71
busselton,AU,115.3333,-33.65,61.0,79,0,12.37
vila,PT,-8.1588,42.0304,52.0,95,99,8.99
kavieng,PG,150.7967,-2.5744,83.21,76,72,9.46
sembakung,ID,117.25,3.8167,71.64,98,97,1.23
ushuaia,AR,-68.3,-54.8,46.4,71,40,25.32
champerico,GT,-91.9167,14.3,85.82,52,40,6.91
barrow,US,-156.7887,71.2906,-11.2,77,90,9.22
myingyan,MM,95.3833,21.4667,67.19,59,0,3.78
pestovo,RU,35.8024,58.5938,27.7,99,100,6.69
kiunga,PG,141.2906,-6.1219,72.81,98,100,1.36
ust-maya,RU,134.5333,60.4167,-44.55,77,100,1.61
synya,RU,58.0387,65.3718,-24.02,86,69,5.32
cabo san lucas,MX,-109.9124,22.8909,78.57,24,40,4.61
chuy,UY,-53.4616,-33.6971,75.67,58,88,11.52
puerto ayora,EC,-90.3518,-0.7393,83.5,66,20,14.97
zhireken,RU,117.3076,52.8249,-24.77,85,100,2.89
roald,NO,6.1333,62.5833,33.49,64,75,18.41
saint-francois,FR,3.9054,46.4154,53.33,87,90,4.61
grand gaube,MU,57.6608,-20.0064,77.0,81,2,1.99
balaghat,IN,80.1833,21.8,68.81,47,91,6.73
mataura,NZ,168.8643,-46.1927,48.0,80,95,8.01
iqaluit,CA,-68.5145,63.7506,-11.2,70,1,25.32
